num_leaves,coord_1,coord_2,coord_3,coord_4,coord_5,coord_6,coord_7,coord_8,coord_9
"((0:6393617.0212523,(1:4446808.5106214,3:4446808.5106214):1946808.5106309):416744.0747856504,2:6810361.095718802):0;",0.0,4446808.5106214,4446808.5106214,2.0,6393617.0212523,1946808.5106309,1.0,416744.0747856504,6810361.095718802
"((0:3246047.7914770264,(1:3202127.6595623,3:3202127.6595623):43920.13194664161):69998.8230210106,2:3316046.614881016):0;",0.0,3202127.6595623,3202127.6595623,2.0,3246047.7914770264,43920.13194664161,1.0,69998.8230210106,3316046.614881016
"(((3:2877525.6914784275,0:2877525.6914784275):189377.53319076973,1:3066903.224456431):3399385.31275304,2:6466288.537209471):0;",0.0,2877525.6914784275,2877525.6914784275,2.0,189377.53319076973,3066903.224456431,0.0,3399385.31275304,6466288.537209471
"(((0:3074468.0850947,1:3074468.0850947):1617021.2765896001,3:4691489.3616843):872340.4255286,2:5563829.787212901):0;",0.0,3074468.0850947,3074468.0850947,2.0,1617021.2765896001,4691489.3616843,3.0,872340.4255286,5563829.787212901
"(((2:1595744.680845,0:1595744.680845):1472428.1521220643,1:3068172.8329670643):1260833.518080315,3:4329006.35104738):0;",0.0,1595744.680845,1595744.680845,0.0,1472428.1521220643,3068172.8329670643,4.0,1260833.518080315,4329006.35104738
"(((0:3968085.1063679,2:3968085.1063679):752092.1635077803,3:4720177.270194829):2158092.205310948,1:6878269.475505778):0;",0.0,3968085.1063679,3968085.1063679,0.0,752092.1635077803,4720177.270194829,3.0,2158092.205310948,6878269.475505778
"(0:9257472.997837162,(1:5531958.543596,(2:4978723.4042364005,3:4978723.4042364005):553235.1390404509):3725514.455304992):0;",0.0,4978723.4042364005,4978723.4042364005,1.0,5531958.543596,553235.1390404509,2.0,9257472.997837162,3725514.455304992
"(((1:2393617.0212675,2:2393617.0212675):602634.0604232419,0:2996251.081903508):525975.0156362992,3:3522226.0978589556):0;",0.0,2393617.0212675,2393617.0212675,1.0,2996251.081903508,602634.0604232419,4.0,525975.0156362992,3522226.0978589556
"(((0:3425531.9148806003,3:3425531.9148806003):1010638.2978685,2:4436170.2127491):2074468.0850985,1:6510638.2978476):0;",0.0,3425531.9148806003,3425531.9148806003,0.0,1010638.2978685,4436170.2127491,0.0,2074468.0850985,6510638.2978476
"((0:5546459.922319349,(1:5053191.4893424995,2:5053191.4893424995):493268.43318961497):2199218.654246962,3:7745678.5765663115):0;",0.0,5053191.4893424995,5053191.4893424995,1.0,5546459.922319349,493268.43318961497,4.0,2199218.654246962,7745678.5765663115
"((0:3962765.95743175,(1:1244680.8510591001,2:1244680.8510591001):2718085.1063726502):160638.29787173003,3:4123404.25530348):0;",0.0,1244680.8510591001,1244680.8510591001,1.0,3962765.95743175,2718085.1063726502,4.0,160638.29787173003,4123404.25530348
"(((0:4241134.752111544,2:4241134.752111544):849290.7801031558,3:5090425.53189555):1392553.1914840702,1:6482978.723379619):0;",0.0,4241134.752111544,4241134.752111544,0.0,849290.7801031558,5090425.53189555,3.0,1392553.1914840702,6482978.723379619
"((0:5515957.44678755,(2:4808510.6382796,3:4808510.6382796):707446.80850795):84221.10548904167,1:5600178.552106379):0;",0.0,4808510.6382796,4808510.6382796,0.0,5515957.44678755,707446.80850795,2.0,84221.10548904167,5600178.552106379
"((0:3947252.6553041493,(1:3851063.8297726,3:3851063.8297726):96188.82532942171):134664.35542502019,2:4081917.010622787):0;",0.0,3851063.8297726,3851063.8297726,2.0,3947252.6553041493,96188.82532942171,1.0,134664.35542502019,4081917.010622787
"(((0:4797872.3404073,2:4797872.3404073):561170.212763825,1:5359042.553171125):1626063.829781055,3:6985106.38295218):0;",0.0,4797872.3404073,4797872.3404073,0.0,561170.212763825,5359042.553171125,4.0,1626063.829781055,6985106.38295218
"((0:5872340.4255096,(1:4382978.723387601,2:4382978.723387601):1489361.702122):1680851.0638234,3:7553191.489333001):0;",0.0,4382978.723387601,4382978.723387601,1.0,5872340.4255096,1489361.702122,4.0,1680851.0638234,7553191.489333001
"(((0:4315602.837217643,2:4315602.837217643):774822.6949970557,3:5090425.53189555):126595.74468037001,1:5217021.27657592):0;",0.0,4315602.837217643,4315602.837217643,0.0,774822.6949970557,5090425.53189555,3.0,126595.74468037001,5217021.27657592
"((0:4663120.5670035565,2:4663120.5670035565):478057.32425350253,(1:3148936.1702008,3:3148936.1702008):1992241.7212690252):0;",0.0,3148936.1702008,3148936.1702008,0.0,4663120.5670035565,4663120.5670035565,1.0,478057.32425350253,1992241.7212690252
"(((1:3265957.4467960997,0:3265957.4467960997):457446.8085089,2:3723404.255305):602291.8766998389,3:4325696.131898456):0;",0.0,3265957.4467960997,3265957.4467960997,2.0,457446.8085089,3723404.255305,4.0,602291.8766998389,4325696.131898456
"((0:5191489.3616824,3:5191489.3616824):340425.53191360005,(1:3734042.5531773004,2:3734042.5531773004):1797872.3404187001):0;",0.0,5191489.3616824,5191489.3616824,1.0,3734042.5531773004,3734042.5531773004,0.0,340425.53191360005,1797872.3404187001
"(0:5625595.554233942,((1:3042553.1914778003,2:3042553.1914778003):2180851.0638215,3:5223404.2552993):402191.29850910994):0;",0.0,3042553.1914778003,3042553.1914778003,1.0,2180851.0638215,5223404.2552993,3.0,5625595.554233942,402191.29850910994
"(0:2147308.8946726914,(1:1656028.3691426434,(2:893617.0212732,3:893617.0212732):762411.3475502944):491280.52616834594):0;",0.0,893617.0212732,893617.0212732,1.0,1656028.3691426434,762411.3475502944,2.0,2147308.8946726914,491280.52616834594
"((0:6379432.624443843,2:6379432.624443843):816312.0566990258,(1:6989361.7021011,3:6989361.7021011):206382.97872262):0;",0.0,6989361.7021011,6989361.7021011,0.0,6379432.624443843,6379432.624443843,1.0,816312.0566990258,206382.97872262
"(((0:4783687.943598843,2:4783687.943598843):763371.4030822056,1:5547059.346787431):662061.3625506756,3:6209120.708487044):0;",0.0,4783687.943598843,4783687.943598843,0.0,763371.4030822056,5547059.346787431,4.0,662061.3625506756,6209120.708487044
"(((0:3393617.0212637,1:3393617.0212637):970744.6808473751,2:4364361.702111076):105851.063829385,3:4470212.76594046):0;",0.0,3393617.0212637,3393617.0212637,2.0,970744.6808473751,4364361.702111076,4.0,105851.063829385,4470212.76594046
"(((2:3861702.1276449,0:3861702.1276449):1050009.3994640952,3:4911711.52764091):25332.30828713778,1:4937043.8350876225):0;",0.0,3861702.1276449,3861702.1276449,0.0,1050009.3994640952,4911711.52764091,3.0,25332.30828713778,4937043.8350876225
"(((0:4021276.5957294,1:4021276.5957294):678704.0879761443,2:4699980.684024693):590337.8691466929,3:5290318.553171387):0;",0.0,4021276.5957294,4021276.5957294,2.0,678704.0879761443,4699980.684024693,4.0,590337.8691466929,5290318.553171387
"((0:4094962.449984439,(1:3925531.9148787004,3:3925531.9148787004):169430.5347865902):136326.65904203517,2:4231289.108494559):0;",0.0,3925531.9148787004,3925531.9148787004,2.0,4094962.449984439,169430.5347865902,1.0,136326.65904203517,4231289.108494559
"((0:5744680.851042001,(1:5053191.4893424995,2:5053191.4893424995):691489.3616995):111709.92414851168,3:5856390.775509661):0;",0.0,5053191.4893424995,5053191.4893424995,1.0,5744680.851042001,691489.3616995,4.0,111709.92414851168,5856390.775509661
"((0:7398936.17018465,(1:6244680.851040101,2:6244680.851040101):1154255.31914455):43617.02127643,3:7442553.19146108):0;",0.0,6244680.851040101,6244680.851040101,1.0,7398936.17018465,1154255.31914455,4.0,43617.02127643,7442553.19146108
"(2:5316172.523384054,((1:3553191.4893482,3:3553191.4893482):562415.1978702033,0:4115606.6872184034):1200565.8361656507):0;",0.0,3553191.4893482,3553191.4893482,2.0,4115606.6872184034,562415.1978702033,1.0,1200565.8361656507,5316172.523384054
"(((0:4148936.170197,3:4148936.170197):2167553.1914811246,1:6316489.361678125):42106.851882818715,2:6358596.213805624):0;",0.0,4148936.170197,4148936.170197,2.0,2167553.1914811246,6316489.361678125,0.0,42106.851882818715,6358596.213805624
"(0:4002991.5904103206,((1:3202127.6595623,3:3202127.6595623):4985.983853172543,2:3207113.6436048346):795877.9469118692):0;",0.0,3202127.6595623,3202127.6595623,1.0,4985.983853172543,3207113.6436048346,1.0,4002991.5904103206,795877.9469118692
"((0:4911347.518066443,2:4911347.518066443):746099.2907418456,(1:5351063.8297669,3:5351063.8297669):306382.97872224):0;",0.0,5351063.8297669,5351063.8297669,0.0,4911347.518066443,4911347.518066443,1.0,746099.2907418456,306382.97872224
"((0:5578346.804234122,3:5578346.804234122):235981.91265867776,(1:3946808.5106233004,2:3946808.5106233004):1867520.2063758823):0;",0.0,5578346.804234122,5578346.804234122,1.0,3946808.5106233004,3946808.5106233004,0.0,235981.91265867776,1867520.2063758823
