SSY,HLE,NLE,HMO,SSY-HLE,SSY-NLE,HLE-NLE,SSY-HMO,HLE-HMO,NLE-HMO,SSY-HLE-NLE,SSY-HLE-HMO,SSY-NLE-HMO,HLE-NLE-HMO,topology
3914893.6170064,4459932.25955752,3914893.6170064,7912129.5691188695,0.0,545038.6429766522,0.0,0.0,0.0,0.0,3452197.30849752,0.0,0.0,0.0,"(((SSY,NLE),HLE),HMO)"
4361702.127643,6191489.361678599,6191489.361678599,4361702.127643,0.0,0.0,233572.90212677198,2063360.1361623718,0.0,0.0,0.0,0.0,0.0,0.0,"((SSY,HMO),(HLE,NLE))"
4287234.042536899,4287234.042536899,4996453.901044843,4996453.901044843,2497872.34041604,0.0,0.0,0.0,0.0,1788652.481908097,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))"
4255319.1489200005,5812446.138275785,5053191.4893424995,4255319.1489200005,0.0,0.0,0.0,797872.3404225,0.0,0.0,0.0,0.0,759254.6493588169,0.0,"(((SSY,HMO),NLE),HLE)"
4744680.8510458,4744680.8510458,8340783.136138517,4824915.090407197,80234.23897841852,0.0,0.0,0.0,0.0,0.0,0.0,3515868.0457313205,0.0,0.0,"(((SSY,HLE),HMO),NLE)"
1882978.7233971,2458019.917011936,1882978.7233971,2729153.236159842,0.0,575041.1939339851,0.0,0.0,0.0,0.0,271133.318509608,0.0,0.0,0.0,"(((SSY,NLE),HLE),HMO)"
4069148.9361547497,5248936.17019282,3198581.560626143,3198581.560626143,0.0,0.0,0.0,0.0,0.0,870567.3758477557,0.0,0.0,1179787.23403807,0.0,"(((NLE,HMO),SSY),HLE)"
1765957.4468018,1765957.4468018,3397872.34041262,2515957.44679895,749999.99999715,0.0,0.0,0.0,0.0,0.0,0.0,881914.89361367,0.0,0.0,"(((SSY,HLE),HMO),NLE)"
2127659.5744600003,2127659.5744600003,2298450.8457359467,4904602.422321788,170791.27138232972,0.0,0.0,0.0,0.0,0.0,2606151.5765858414,0.0,0.0,0.0,"(((SSY,HLE),NLE),HMO)"
1819148.9361633,3413539.907433837,3975512.776580638,1819148.9361633,0.0,0.0,0.0,1594390.971270537,0.0,0.0,0.0,561972.8695723326,0.0,0.0,"(((SSY,HMO),HLE),NLE)"
6810361.095718802,4446808.5106214,4446808.5106214,6393617.0212523,0.0,0.0,1946808.5106309,0.0,0.0,0.0,0.0,0.0,0.0,416744.0747856504,"(((HLE,NLE),HMO),SSY)"
