SSY,HLE,NLE,HMO,SSY-HLE,SSY-NLE,HLE-NLE,SSY-HMO,HLE-HMO,NLE-HMO,SSY-HLE-NLE,SSY-HLE-HMO,SSY-NLE-HMO,HLE-NLE-HMO,topology,simulated
4231289.108494560,3925531.914878700,3925531.914878700,4094962.449984440,0.0,0.0,169430.5347865900,0.0,0.0,0.0,0.0,0.0,0.0,136326.65904203500,"(((HLE,NLE),HMO),SSY)",0
5053191.4893425000,5053191.4893425000,5856390.775509660,5744680.851042000,691489.3616995,0.0,0.0,0.0,0.0,0.0,0.0,111709.92414851200,0.0,0.0,"(((SSY,HLE),HMO),NLE)",0
6244680.851040100,6244680.851040100,7442553.19146108,7398936.17018465,1154255.31914455,0.0,0.0,0.0,0.0,0.0,0.0,43617.02127643,0.0,0.0,"(((SSY,HLE),HMO),NLE)",0
5316172.523384050,3553191.4893482,3553191.4893482,4115606.687218400,0.0,0.0,562415.1978702030,0.0,0.0,0.0,0.0,0.0,0.0,1200565.8361656500,"(((HLE,NLE),HMO),SSY)",0
6358596.213805620,6316489.361678130,4148936.170197,4148936.170197,0.0,0.0,0.0,0.0,0.0,2167553.1914811200,0.0,0.0,0.0,42106.851882818700,"(((NLE,HMO),HLE),SSY)",0
3207113.6436048300,3202127.6595623,3202127.6595623,4002991.590410320,0.0,0.0,4985.983853172540,0.0,0.0,0.0,795877.9469118690,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)",0
4911347.518066440,5351063.8297669,5351063.8297669,4911347.518066440,0.0,0.0,306382.97872224,746099.2907418460,0.0,0.0,0.0,0.0,0.0,0.0,"((SSY,HMO),(HLE,NLE))",0
3946808.510623300,3946808.510623300,5578346.804234120,5578346.804234120,1867520.2063758800,0.0,0.0,0.0,0.0,235981.91265867800,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))",0
2670212.7659473,2670212.7659473,4995332.922321440,3236187.4297749400,565974.6635084880,0.0,0.0,0.0,0.0,0.0,0.0,1759145.4925465100,0.0,0.0,"(((SSY,HLE),HMO),NLE)",0
6287234.042529300,5425531.914873,6127659.574444800,5425531.914873,0.0,0.0,0.0,0.0,702127.6595718,0.0,0.0,0.0,0.0,159574.4680845,"(((HLE,HMO),NLE),SSY)",0
